id,uri,siglaTipo,codTipo,numero,ano,ementa
2482309,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482309,PL,139,83,2025,"Altera a redação do parágrafo único do art. 3º da Lei nº 12.764, de 2012, que institui a Política Nacional de Proteção dos Direitos da Pessoa com Transtorno do Espectro Autista, para incluir o direito a material didático complementar que atenda a suas necessidades de aprendizagem."
2482311,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482311,PL,139,84,2025,Cria preferência na celebração de parcerias com a administração pública para entidades voltadas ao atendimento de pessoas com deficiência e doenças raras.
2482318,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482318,PL,139,85,2025,Institui a garantia de acesso universal ao tratamento da endometriose no Sistema Único de Saúde (SUS) e dá outras providências.
2482373,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482373,PL,139,92,2025,"Dispõe sobre a inclusão da equoterapia como tratamento para pessoas com Transtorno do Espectro Autista (TEA) e outras condições no Sistema Único de Saúde (SUS), e sobre a utilização de cavalos recolhidos pela Vigilância Sanitária, e outros órgãos, para esse fim"
2482375,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482375,PL,139,93,2025,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, para estabelecer medidas visando a eficiência no diagnóstico do transtorno do espectro autista."
2482378,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482378,PL,139,94,2025,"Altera o art. 32 da Lei nº 9.605, de 12 de fevereiro de 1998, para dispor sobre a doação de equinos vítimas de maus-tratos para centros de equoterapia."
2482380,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482380,PL,139,95,2025,"Institui a região de Angra Doce II, nos termos que especifica, como Área Especial de Interesse Turístico."
2482383,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482383,PL,139,96,2025,"Institui o Programa Reintegra Brasil para acolhimento e reintegração de brasileiros natos ou naturalizados retornados ao país, e dá outras providências."
2482384,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482384,PL,139,97,2025,"Institui o Programa Nacional de Saúde e Bem-Estar da Atleta Mulher, promovendo a prevenção, diagnóstico e tratamento de condições de saúde específicas da mulher atleta, e dá outras providências."
2482385,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482385,PL,139,98,2025,"Institui a obrigatoriedade de oferta de cursos de primeiros socorros e manobras de desengasgo para mães e responsáveis durante a internação em unidades de maternidade e cuidados neonatais, com o objetivo de promover a segurança e saúde de recém-nascidos e crianças."
2482386,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482386,PL,139,99,2025,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), para dispor sobre a vedação do nepotismo no âmbito dos partidos."
2482387,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482387,PL,139,100,2025,"Dispõe sobre a permissão do uso de animais em circos, mediante regras rígidas de bem-estar animal."
